id,text,entities,intent
1,Switch on the front light,"[{""start"": 14, ""end"": 19, ""text"": ""front"", ""labels"": [""light_name""]}]",switch-on
2,Switch on the main light,"[{""start"": 14, ""end"": 18, ""text"": ""main"", ""labels"": [""light_name""]}]",switch-on
3,turn on all the lights,"[{""start"": 8, ""end"": 11, ""text"": ""all"", ""labels"": [""light_name""]}]",switch-on
4,"please, turn off the back light","[{""start"": 21, ""end"": 25, ""text"": ""back"", ""labels"": [""light_name""]}]",switch-off
5,Switch on the front light,"[{""start"": 14, ""end"": 19, ""text"": ""front"", ""labels"": [""light_name""]}]",switch-on
6,put all the lights off,"[{""start"": 4, ""end"": 7, ""text"": ""all"", ""labels"": [""light_name""]}]",switch-off
7,turn the middle light on,"[{""start"": 9, ""end"": 15, ""text"": ""middle"", ""labels"": [""light_name""]}]",switch-on
8,make the front light off,"[{""start"": 9, ""end"": 14, ""text"": ""front"", ""labels"": [""light_name""]}]",switch-off
9,Switch off the main lights,"[{""start"": 15, ""end"": 19, ""text"": ""main"", ""labels"": [""light_name""]}]",switch-off
10,Switch on the front light,"[{""start"": 14, ""end"": 19, ""text"": ""front"", ""labels"": [""light_name""]}]",switch-on
11,Switch on the main light,"[{""start"": 14, ""end"": 18, ""text"": ""main"", ""labels"": [""light_name""]}]",switch-on
12,turn on all the lights,"[{""start"": 8, ""end"": 11, ""text"": ""all"", ""labels"": [""light_name""]}]",switch-on
13,"please, turn off the back light","[{""start"": 21, ""end"": 25, ""text"": ""back"", ""labels"": [""light_name""]}]",switch-off
14,Switch on the front light,"[{""start"": 14, ""end"": 19, ""text"": ""front"", ""labels"": [""light_name""]}]",switch-on
15,put all the lights off,"[{""start"": 4, ""end"": 7, ""text"": ""all"", ""labels"": [""light_name""]}]",switch-off
16,turn the middle light on,"[{""start"": 9, ""end"": 15, ""text"": ""middle"", ""labels"": [""light_name""]}]",switch-on
17,make the front light off,"[{""start"": 9, ""end"": 14, ""text"": ""front"", ""labels"": [""light_name""]}]",switch-off
18,get the middle light off,"[{""start"": 8, ""end"": 14, ""text"": ""middle"", ""labels"": [""light_name""]}]",switch-off
19,turn off the back and front lights,"[{""start"": 13, ""end"": 17, ""text"": ""back"", ""labels"": [""light_name""]}, {""start"": 22, ""end"": 27, ""text"": ""front"", ""labels"": [""light_name""]}]",switch-off
20,switch on the middle and main lights,"[{""start"": 14, ""end"": 20, ""text"": ""middle"", ""labels"": [""light_name""]}, {""start"": 25, ""end"": 29, ""text"": ""main"", ""labels"": [""light_name""]}]",switch-on
